,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,1,0.34095913893543184,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,2,0.3537944699637592,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,3,0.3507494209334254,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,4,0.3525462100515142,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,5,0.38668905093800277,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,6,0.3439881741069257,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,7,0.34961350506637245,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,8,0.3431394670624286,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,PDFA - 4e451446a3d14113960a490b313b439d,44,44,9,0.3426807359792292,656,4,95.0,7.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,PDFA - 052dd8831fd54da4acab051b7723b62a,307,307,1,79.171946206945,6341,8,635.0,10.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,PDFA - 052dd8831fd54da4acab051b7723b62a,307,307,2,79.20389187999535,6341,8,635.0,10.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,PDFA - 052dd8831fd54da4acab051b7723b62a,307,307,3,80.6412095889682,6341,8,635.0,10.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,PDFA - 052dd8831fd54da4acab051b7723b62a,307,307,4,79.17438158101868,6341,8,635.0,10.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,PDFA - 052dd8831fd54da4acab051b7723b62a,307,307,5,77.4090152180288,6341,8,635.0,10.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,PDFA - 052dd8831fd54da4acab051b7723b62a,307,307,6,79.55036360595841,6341,8,635.0,10.0,,,0.0,0.0,1.0,0,0,0.0
